timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627065000,Jul 23 2021 - 6:30pm,complete,N/A,Sturm Graz,Salzburg,Walter Altmann,1,0.00,0.00,1.94,2.25,1,3,4,1,1,0,"11","69,76,85",8,5,1,0,2,0,0,1,1,1,17,23,4,7,13,16,13,12,38,62,0.00,0.00,1.61,2.47,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,4.33,1.47,1.19,1.50,2.20,3.80,1.62,2.20,Merkur Arena (Graz)
1627138800,Jul 24 2021 - 3:00pm,complete,12200,Rapid Wien,Hartberg,Manuel Schüttengruber,1,0.00,0.00,1.65,1.13,0,2,2,1,0,1,"","41,68",10,4,0,0,2,0,0,0,1,1,23,15,6,8,17,7,10,12,59,41,0.00,0.00,2.41,1.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.44,4.20,6.50,1.20,1.60,2.55,3.95,1.80,1.95,Allianz Stadion (Wien)
1627138800,Jul 24 2021 - 3:00pm,complete,N/A,Rheindorf Altach,LASK Linz,Chiristian-Petru Ciochirca,1,0.00,0.00,0.75,0.94,0,1,1,1,0,1,"","35",1,10,5,0,1,0,1,4,0,1,6,26,2,5,4,21,16,22,45,55,0.00,0.00,0.73,2.43,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.00,3.80,1.57,1.25,1.66,2.75,4.75,1.83,1.91,CASHPOINT Arena (Altach)
1627138800,Jul 24 2021 - 3:00pm,complete,N/A,Wattens,Admira,Dieter Muckenhammer,1,0.00,0.00,1.39,1.13,1,1,2,0,0,0,"60","90'3",6,8,3,0,2,0,0,3,1,1,14,10,4,3,10,7,17,11,51,49,0.00,0.00,1.46,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.73,3.80,4.33,1.25,1.80,2.90,5.00,1.75,2.00,Tivoli Stadion Tirol (Innsbruck)
1627225200,Jul 25 2021 - 3:00pm,complete,N/A,Ried,Austria Wien,Alexander Harkam,1,0.00,0.00,1.63,1.31,2,1,3,0,0,0,"56,67","75",3,7,0,0,0,0,0,0,0,0,9,13,5,5,4,8,4,8,28,72,0.00,0.00,1.15,1.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.87,3.30,2.15,1.28,1.61,2.65,4.75,1.65,2.15,josko ARENA (Ried Im Innkreis)
1627225200,Jul 25 2021 - 3:00pm,complete,N/A,Austria Klagenfurt,Wolfsberger AC,Christopher Jäger,1,0.00,0.00,1.13,1.31,1,1,2,1,0,1,"90","25",6,4,2,1,1,0,1,2,1,0,11,9,5,3,6,6,21,15,43,57,0.00,0.00,1.39,1.17,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.00,3.40,1.75,1.35,1.70,2.95,5.75,1.77,2.00,Wörthersee Stadion (Klagenfurt am Wörthersee)
1627743600,Jul 31 2021 - 3:00pm,complete,N/A,LASK Linz,Rapid Wien,Rene Eisner,2,0.00,0.00,1.44,1.12,1,1,2,1,0,1,"79","8",5,4,1,0,3,0,0,1,1,2,8,8,5,4,3,4,10,16,56,44,0.00,0.00,1.52,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.17,3.34,2.71,1.22,2.20,2.55,4.30,1.59,2.25,Raiffeisen Arena (Pasching)
1627743600,Jul 31 2021 - 3:00pm,complete,1625,Admira,Austria Klagenfurt,Stefan Ebner,2,0.00,0.00,0.81,1.13,4,0,4,0,0,0,"67,70,77,90'1","",9,0,3,0,1,2,2,1,2,1,23,0,9,0,14,0,17,8,69,31,0.00,0.00,2.79,0.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.45,3.17,1.34,2.00,3.00,5.75,1.80,2.00,BSFZ-Arena (Maria Enzersdorf)
1627743600,Jul 31 2021 - 3:00pm,complete,2132,Hartberg,Rheindorf Altach,Gerhard Grobelnik,2,0.00,0.00,0.94,1.06,1,2,3,2,0,2,"81","16,28",8,2,1,0,5,0,0,1,1,4,17,10,8,7,9,3,9,15,70,30,0.00,0.00,2.42,1.56,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.45,3.17,1.29,1.83,3.10,5.00,1.69,2.10,PROfertil ARENA (Hartberg)
1627830000,Aug 01 2021 - 3:00pm,complete,6053,Austria Wien,Wattens,Alan Kijas,2,0.00,0.00,1.56,1.06,1,1,2,1,0,1,"80","45'3",5,9,2,0,0,0,1,1,0,0,17,11,9,4,8,7,11,7,42,58,0.00,0.00,2.29,1.37,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.60,3.60,1.25,1.67,2.80,4.40,1.59,2.30,Generali Arena (Wien)
