timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1627065900,Jul 23 2021 - 6:45pm,complete,N/A,Standard Liège,KRC Genk,Lawrence Visser,1,0.00,0.00,0.82,1.15,1,1,2,0,0,0,"69","90'2",7,3,1,0,2,0,1,0,0,2,12,13,5,6,7,7,11,9,45,55,0.00,0.00,1.75,1.80,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.80,3.30,2.25,1.22,1.73,3.10,4.00,1.54,2.35,Stade Maurice Dufrasne (Liège (Luik))
1627136100,Jul 24 2021 - 2:15pm,complete,N/A,OH Leuven,Zulte-Waregem,Bert Put,1,0.00,0.00,1.47,0.76,1,1,2,2,1,1,"42","24",0,4,4,0,5,1,1,3,3,3,13,11,5,5,8,6,12,17,42,58,0.00,0.00,1.59,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.05,4.00,3.15,1.17,1.49,2.20,3.45,1.47,2.60,King Power at Den Dreef Stadion (Heverlee)
1627144200,Jul 24 2021 - 4:30pm,complete,N/A,KV Kortrijk,RFC Seraing,Christof Dierick,1,0.00,0.00,1.12,0.59,2,0,2,1,1,0,"31,88","",2,2,4,0,2,0,2,2,0,2,9,8,5,5,4,3,16,15,52,48,0.00,0.00,1.39,1.29,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.60,4.25,1.33,1.91,3.10,5.75,1.83,1.91,Guldensporenstadion (Kortrijk)
1627152300,Jul 24 2021 - 6:45pm,complete,N/A,KV Oostende,Sporting Charleroi,Erik Lambrechts,1,0.00,0.00,1.06,1.55,0,3,3,1,0,1,"","7,50,85",9,2,3,0,1,0,0,3,0,1,10,11,4,7,6,4,13,9,54,46,0.00,0.00,1.30,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.20,3.30,3.00,1.32,1.75,3.10,5.50,1.71,2.05,Diaz Arena (Oostende)
1627212600,Jul 25 2021 - 11:30am,complete,N/A,KV Mechelen,Royal Antwerp FC,Nicolas Laforge,1,0.00,0.00,1.90,1.75,3,2,5,1,0,1,"60,73,74","18,56",13,2,2,0,2,0,0,2,0,2,17,11,10,6,7,5,12,10,65,35,0.00,0.00,2.45,1.45,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.60,3.25,1.25,1.67,2.55,4.35,1.57,2.30,AFAS-stadion Achter de Kazerne (Mechelen (Malines))
1627221600,Jul 25 2021 - 2:00pm,complete,N/A,Club Brugge,AS Eupen,Bram Van Driessche,1,0.00,0.00,2.15,0.94,2,2,4,0,0,0,"56,90'13","60,77",10,3,3,0,8,0,1,2,1,7,17,11,12,6,5,5,9,13,63,37,0.00,0.00,2.79,1.49,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.18,6.00,15.00,1.18,1.45,2.20,3.90,2.05,1.74,Jan Breydelstadion (Brugge)
1627230600,Jul 25 2021 - 4:30pm,complete,N/A,RSC Anderlecht,Union Saint-Gilloise,Kevin Van Damme,1,0.00,0.00,1.95,2.40,1,3,4,2,1,1,"45'2","20,62,73",5,2,3,0,3,0,0,3,0,3,6,8,3,6,3,2,11,7,60,40,0.00,0.00,1.07,1.23,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.91,3.50,4.10,1.33,1.91,3.10,5.75,1.80,1.95,Lotto Park (Bruxelles (Brussel))
1627239600,Jul 25 2021 - 7:00pm,complete,N/A,Sint-Truiden,KAA Gent,Jan Boterberg,1,0.00,0.00,1.41,1.75,2,1,3,2,1,1,"12,67","2",1,8,2,0,1,0,0,2,0,1,5,10,3,5,2,5,12,6,37,63,0.00,0.00,0.77,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.69,3.60,1.72,1.29,1.68,3.00,5.25,1.80,1.95,Stayen (Sint-Truiden (St.-Trond))
1627408800,Jul 27 2021 - 6:00pm,complete,N/A,Beerschot-Wilrijk,Cercle Brugge,Alexandre Boucaut,1,0.00,0.00,0.76,1.35,0,1,1,1,0,1,"","40",8,3,1,0,1,0,0,1,0,1,6,5,3,3,3,2,8,16,52,48,0.00,0.00,0.77,0.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.30,2.90,1.36,2.00,3.25,6.00,1.80,1.95,Olympisch Stadion (Antwerp (Anvers))
1627670700,Jul 30 2021 - 6:45pm,complete,N/A,KRC Genk,KV Oostende,Nathan Verboomen,2,0.00,0.00,1.95,1.12,3,4,7,3,2,1,"20,30,60","32,49,62,79",9,5,0,0,1,0,0,0,1,0,19,16,11,8,8,8,2,12,67,33,0.00,0.00,2.64,1.98,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.66,4.00,4.40,1.20,1.71,2.65,3.75,1.61,2.25,Luminus Arena (Genk)
1627740900,Jul 31 2021 - 2:15pm,complete,N/A,Sporting Charleroi,Sint-Truiden,Lawrence Visser,2,0.00,0.00,1.50,1.59,0,0,0,0,0,0,"","",6,5,2,0,4,0,1,1,3,1,8,5,0,4,8,1,12,16,54,46,0.00,0.00,1.11,1.14,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.90,3.52,3.12,1.33,1.71,3.00,5.75,1.80,1.95,Stade du Pays de Charleroi (Charleroi)
1627749000,Jul 31 2021 - 4:30pm,complete,N/A,RFC Seraing,KV Mechelen,Wesli De Cremer,2,0.00,0.00,1.06,0.90,1,0,1,1,1,0,"14","",6,6,3,0,3,0,0,3,1,2,9,7,5,5,4,2,18,13,40,60,0.00,0.00,1.32,1.16,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.85,4.10,1.80,1.20,1.57,2.35,3.90,1.57,2.30,Stade du Pairay (Seraing)
