timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1722623400,Aug 02 2024 - 6:30pm,complete,50000,Köln,Hamburger SV,Max Burda,1,0.00,0.00,1.82,1.65,1,2,3,2,0,2,"78","5,35",6,3,2,0,2,0,1,1,1,1,18,8,5,7,13,1,17,7,60,40,0.00,0.00,2.21,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.70,2.88,1.22,1.70,2.33,5.00,1.57,2.25,RheinEnergieSTADION (Köln)
1722682800,Aug 03 2024 - 11:00am,complete,N/A,Karlsruher SC,Nürnberg,Robin Braun,1,0.00,0.00,1.82,1.29,3,2,5,3,1,2,"45'2,73,79","20,31",7,3,2,0,4,0,1,1,1,3,12,11,6,6,6,5,15,12,53,47,0.00,0.00,1.60,1.27,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.81,3.98,4.04,1.22,1.68,2.85,5.00,1.62,2.20,BBBank Wildpark (Karlsruhe)
1722682800,Aug 03 2024 - 11:00am,complete,N/A,Hannover 96,Jahn Regensburg,Michael Bacher,1,0.00,0.00,1.82,0.12,2,0,2,2,2,0,"11,23","",5,3,1,0,0,0,0,1,0,0,12,10,6,4,6,6,12,17,54,46,0.00,0.00,1.50,1.20,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.72,4.05,4.49,1.22,1.63,2.80,5.00,1.67,2.10,Heinz von Heiden-Arena (Hannover)
1722682800,Aug 03 2024 - 11:00am,complete,N/A,Hertha BSC,Paderborn,Wolfgang Haslberger,1,0.00,0.00,1.00,1.65,1,2,3,1,0,1,"72","42,48",1,8,2,0,1,0,1,1,0,1,8,9,5,5,3,4,16,8,59,41,0.00,0.00,1.29,1.21,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.97,3.92,3.46,1.18,1.53,2.25,4.00,1.50,2.50,Olympiastadion Berlin (Berlin)
1722682800,Aug 03 2024 - 11:00am,complete,N/A,Magdeburg,Elversberg,Florian Heft,1,0.00,0.00,1.29,1.65,0,0,0,0,0,0,"","",11,1,3,0,2,0,1,2,0,2,16,7,7,3,9,4,11,8,60,40,0.00,0.00,1.96,0.81,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.95,3.84,3.59,1.20,1.62,2.65,4.50,1.57,2.25,Avnet Arena (Magdeburg)
1722709800,Aug 03 2024 - 6:30pm,complete,N/A,Schalke 04,Eintracht Braunschweig,Tobias Stieler,1,0.00,0.00,1.24,0.71,5,1,6,3,2,1,"9,25,73,82,83","32",3,3,2,0,2,0,0,2,1,1,13,12,9,7,4,5,13,12,56,44,0.00,0.00,1.71,1.46,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.70,3.60,4.60,1.26,1.60,3.25,6.50,1.73,2.00,VELTINS-Arena (Gelsenkirchen)
1722771000,Aug 04 2024 - 11:30am,complete,N/A,Darmstadt 98,Fortuna Düsseldorf,Robert Kampka,1,0.00,0.00,1.65,1.59,0,2,2,0,0,0,"","55,86",7,6,2,1,2,0,0,3,0,2,10,10,7,5,3,5,16,7,45,55,0.00,0.00,1.43,1.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.40,2.50,1.22,1.70,2.80,5.00,1.57,2.25,Merck-Stadion am Böllenfalltor (Darmstadt)
1722771000,Aug 04 2024 - 11:30am,complete,N/A,Greuther Fürth,Preußen Münster,Richard Hempel,1,0.00,0.00,1.35,1.00,3,1,4,2,1,1,"25,50,55","41",6,5,1,0,2,0,1,0,0,2,20,15,10,5,10,10,9,11,47,53,0.00,0.00,2.28,1.58,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.80,3.50,4.00,1.22,1.70,2.85,5.00,1.62,2.20,Sportpark Ronhof Thomas Sommer (Fürth)
1722771000,Aug 04 2024 - 11:30am,complete,N/A,Ulm,Kaiserslautern,Robert Schröder,1,0.00,0.00,1.00,1.24,1,2,3,0,0,0,"48","77,83",6,7,2,0,3,0,1,1,0,3,10,12,4,6,6,6,12,16,50,50,0.00,0.00,1.22,1.42,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.40,2.50,1.25,1.77,3.00,5.50,1.62,2.20,Donaustadion (Ulm)
1723221000,Aug 09 2024 - 4:30pm,complete,N/A,Kaiserslautern,Greuther Fürth,Florian Lechner,2,0.00,0.00,1.88,0.94,2,2,4,3,1,2,"45'1,84","31,38",8,5,3,0,1,0,2,1,0,1,14,12,8,8,6,4,10,14,56,44,0.00,0.00,1.80,1.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.93,3.71,3.64,1.22,1.61,2.30,4.75,1.57,2.30,Fritz-Walter-Stadion (Kaiserslautern)
