timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1628877600,Aug 13 2021 - 6:00pm,complete,6650,Go Ahead Eagles,Heerenveen,Kevin Blom,1,0.00,0.00,1.29,1.11,0,1,1,1,0,1,"","7",3,11,0,0,0,0,0,0,0,0,13,19,4,6,9,13,4,4,48,52,0.00,0.00,1.49,2.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.35,2.60,1.33,1.91,3.05,5.75,1.77,2.05,De Adelaarshorst (Deventer)
1628951400,Aug 14 2021 - 2:30pm,complete,3860,RKC Waalwijk,AZ,Joey Kooij,1,0.00,0.00,1.24,1.32,1,0,1,1,1,0,"45","",4,6,0,0,2,0,0,0,0,2,9,20,4,5,5,15,12,6,28,72,0.00,0.00,1.00,2.11,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.75,4.40,1.51,1.17,1.53,2.20,3.65,1.67,2.15,Mandemakers Stadion (Waalwijk)
1628959500,Aug 14 2021 - 4:45pm,complete,8053,Heracles,PSV,Danny Makkelie,1,0.00,0.00,1.53,2.29,0,2,2,1,0,1,"","40,64",2,11,2,0,2,0,1,1,1,1,5,20,3,7,2,13,13,10,37,63,0.00,0.00,0.74,2.22,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,7.75,5.00,1.36,1.22,1.62,2.50,4.45,1.91,1.87,Erve Asito (Almelo)
1628964000,Aug 14 2021 - 6:00pm,complete,6300,Fortuna Sittard,Twente,Jochem Kamphuis,1,0.00,0.00,1.18,1.94,2,1,3,1,0,1,"61,81","36",8,5,2,0,2,0,1,1,1,1,8,14,4,2,4,12,10,8,49,51,0.00,0.00,1.17,1.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.90,3.50,2.30,1.29,1.80,2.85,4.95,1.71,2.10,Fortuna Sittard Stadion (Sittard)
1628967600,Aug 14 2021 - 7:00pm,complete,32275,Ajax,NEC,Bas Nijhuis,1,0.00,0.00,2.53,1.41,5,0,5,5,5,0,"6,10,14,20,39","",11,0,0,0,0,0,0,0,0,0,30,8,12,2,18,6,5,6,72,28,0.00,0.00,3.49,0.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.07,14.00,34.00,1.08,1.25,1.57,2.30,2.35,1.57,Johan Cruijff Arena (Amsterdam)
1629022500,Aug 15 2021 - 10:15am,complete,7000,Cambuur,Groningen,Allard Lindhout,1,0.00,0.00,1.06,1.06,1,2,3,1,0,1,"68","33,90'3",2,8,0,0,0,0,0,0,0,0,7,12,4,8,3,4,11,10,54,46,0.00,0.00,1.00,1.77,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.76,3.35,2.24,1.28,1.70,2.80,5.00,1.69,2.15,Cambuurstadion (Leeuwarden)
1629030600,Aug 15 2021 - 12:30pm,complete,9000,PEC Zwolle,Vitesse,Richard Martens,1,0.00,0.00,0.82,1.58,0,1,1,1,0,1,"","20",6,2,0,0,2,0,0,0,1,1,15,15,6,7,9,8,9,17,55,45,0.00,0.00,1.75,1.70,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.30,3.45,2.10,1.25,1.74,2.70,4.65,1.67,2.15,MAC³PARK Stadion (Zwolle)
1629030600,Aug 15 2021 - 12:30pm,complete,16000,Utrecht,Sparta Rotterdam,Martin van den Kerkhof,1,0.00,0.00,1.83,0.94,4,0,4,1,1,0,"2,66,75,90'3","",4,2,1,0,3,0,0,1,0,3,24,9,10,2,14,7,9,6,47,53,0.00,0.00,2.63,0.93,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,3.80,5.75,1.29,1.83,2.95,5.50,1.91,1.87,Stadion Galgenwaard (Utrecht)
1629038700,Aug 15 2021 - 2:45pm,complete,9700,Willem II,Feyenoord,Serdar Gözübüyük,1,0.00,0.00,1.41,2.06,0,4,4,2,0,2,"","17,25,48,90'2",5,4,1,1,0,0,0,2,0,0,7,21,4,9,3,12,5,11,31,69,0.00,0.00,0.86,2.36,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.46,3.59,1.88,1.22,1.52,2.29,4.25,1.77,2.00,Koning Willem II Stadion (Tilburg)
1629482400,Aug 20 2021 - 6:00pm,complete,N/A,NEC,PEC Zwolle,Sander van der Eijk,2,0.00,0.00,0.82,0.76,2,0,2,2,2,0,"4,42","",2,5,4,0,3,1,2,2,0,4,9,20,5,4,4,16,15,15,38,62,0.00,0.00,1.12,2.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.42,3.37,2.56,1.26,1.70,3.00,5.50,1.62,2.30,Goffertstadion (Nijmegen)
