timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1721491200,Jul 20 2024 - 4:00pm,complete,N/A,Lugano,Grasshopper,Urs Schnyder,1,0.00,0.00,1.68,0.84,2,1,3,1,0,1,"61,90'2","25",9,1,3,0,2,0,2,1,0,2,17,9,8,5,9,4,7,10,67,33,0.00,0.00,2.11,1.06,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.67,3.85,4.30,1.20,1.61,2.70,4.75,1.67,2.10,Stadio di Cornaredo (Lugano)
1721491200,Jul 20 2024 - 4:00pm,complete,N/A,Yverdon Sport,Zürich,Johannes von Mandach,1,0.00,0.00,1.37,1.26,0,2,2,0,0,0,"","72,90'11",5,5,1,1,2,0,1,1,1,1,4,16,0,7,4,9,6,17,53,47,0.00,0.00,0.55,1.76,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.50,3.60,1.91,1.20,1.61,2.60,4.75,1.57,2.25,Stade Municipal (Yverdon-les-Bains)
1721500200,Jul 20 2024 - 6:30pm,complete,N/A,Winterthur,St. Gallen,Sven Wolfensberger,1,0.00,0.00,1.42,0.95,1,0,1,0,0,0,"70","",6,7,1,0,2,0,1,0,0,2,8,15,3,7,5,8,6,12,40,60,0.00,0.00,1.02,2.01,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.20,3.65,1.85,1.10,1.40,2.05,3.28,1.44,2.63,Stadion Schützenwiese (Winterthur)
1721564100,Jul 21 2024 - 12:15pm,complete,N/A,Young Boys,Sion,Alessandro Dudic,1,0.00,0.00,2.26,0.63,1,2,3,2,1,1,"16","39,66",10,5,3,1,4,0,2,2,2,2,13,11,6,5,7,6,17,8,59,41,0.00,0.00,1.85,1.40,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.41,4.80,6.40,1.17,1.46,2.25,4.00,1.73,2.00,Stadion Wankdorf (Bern)
1721572200,Jul 21 2024 - 2:30pm,complete,N/A,Lausanne Sport,Basel,Anojen Kanagasingam,1,0.00,0.00,1.80,1.68,3,2,5,4,3,1,"2,22,44","43,87",4,6,4,0,4,0,0,4,3,1,11,9,6,6,5,3,16,15,47,53,0.00,0.00,1.45,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.23,3.50,2.85,1.22,1.71,2.90,5.50,1.62,2.20,Stade de la Tuilière (Lausanne)
1721572200,Jul 21 2024 - 2:30pm,complete,N/A,Luzern,Servette,Stefan Horisberger,1,0.00,0.00,1.68,1.53,1,2,3,1,0,1,"90'2","4,58",8,4,3,0,2,0,2,1,0,2,9,10,4,5,5,5,13,10,50,50,0.00,0.00,1.15,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,3.10,3.50,2.10,1.20,1.61,2.65,4.75,1.53,2.38,swissporarena (Luzern)
1721845800,Jul 24 2024 - 6:30pm,complete,N/A,Servette,Young Boys,Fedayi San,5,0.00,0.00,1.79,0.95,3,1,4,2,2,0,"32,40,79","71",6,4,1,0,3,0,0,1,1,2,14,14,10,5,4,9,8,18,49,51,0.00,0.00,2.07,1.79,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.15,3.75,3.00,1.14,1.45,2.14,3.50,1.38,2.75,Stade de Genève (Lancy)
1722096000,Jul 27 2024 - 4:00pm,complete,N/A,Grasshopper,Luzern,Luca Piccolo,2,0.00,0.00,1.21,1.05,2,2,4,1,0,1,"54,70","42,85",9,4,2,0,2,0,1,1,1,1,9,11,6,9,3,2,12,12,55,45,0.00,0.00,1.44,1.59,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.35,3.60,2.70,1.18,1.50,2.25,4.00,1.44,2.55,Stadion Letzigrund (Zürich)
1722096000,Jul 27 2024 - 4:00pm,complete,N/A,Sion,Lausanne Sport,Sven Wolfensberger,2,0.00,0.00,1.68,0.94,4,0,4,2,2,0,"7,10,83,90","",7,7,1,0,3,0,1,0,1,2,14,10,12,3,2,7,9,7,42,58,0.00,0.00,1.73,0.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.40,2.65,1.20,1.67,2.65,4.60,1.57,2.25,Stade de Tourbillon (Sion)
1722105000,Jul 27 2024 - 6:30pm,complete,N/A,Basel,Lugano,Lukas Fähndrich,2,0.00,0.00,2.16,1.16,1,2,3,1,0,1,"50","8,69",4,2,1,0,1,0,0,1,0,1,14,6,9,5,5,1,7,9,41,59,0.00,0.00,2.04,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.45,3.60,2.55,1.20,1.55,2.45,4.33,1.48,2.45,St. Jakob-Park (Basel)
1722168900,Jul 28 2024 - 12:15pm,complete,N/A,Servette,Yverdon Sport,Nico Gianforte,2,3.00,0.00,1.79,0.68,3,2,5,3,2,1,"12,22,46","34,63",3,4,1,1,3,0,1,1,0,3,9,11,7,6,2,5,11,12,47,53,2.07,0.00,1.63,1.63,2.00,50,50,50,50,0,50,50,50,50,6.00,1.00,1.49,3.95,6.10,1.17,1.61,2.30,4.50,1.73,2.00,Stade de Genève (Lancy)
1722177000,Jul 28 2024 - 2:30pm,complete,N/A,St. Gallen,Young Boys,Urs Schnyder,2,0.00,0.00,1.83,0.95,4,0,4,2,2,0,"9,18,51,55","",6,9,0,0,1,0,0,0,0,1,12,12,10,6,2,6,5,12,44,56,0.00,1.79,1.97,1.76,2.00,50,50,50,50,0,50,50,50,50,4.00,3.00,2.20,3.50,2.60,1.15,1.53,2.10,3.90,1.44,2.63,kybunpark (St. Gallen)
1722177000,Jul 28 2024 - 2:30pm,complete,N/A,Zürich,Winterthur,Luca Cibelli,2,0.00,0.00,1.53,0.68,4,2,6,3,2,1,"13,32,59,90'5","30,51",6,4,2,0,1,1,1,1,0,2,29,8,15,5,14,3,12,8,51,49,0.00,0.00,3.42,1.05,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.53,4.10,4.60,1.18,1.55,2.55,4.50,1.67,2.10,Stadion Letzigrund (Zürich)
1722700800,Aug 03 2024 - 4:00pm,complete,N/A,Grasshopper,Basel,Sven Wolfensberger,3,1.00,0.00,1.21,1.68,0,3,3,2,0,2,"","25,36,58",9,4,5,0,4,0,1,4,4,0,8,10,2,5,6,5,15,14,55,45,1.44,1.34,1.00,1.23,4.50,100,100,100,100,50,50,100,50,100,15.00,6.00,2.55,3.30,2.60,1.24,1.67,2.83,5.25,1.57,2.20,Stadion Letzigrund (Zürich)
1722700800,Aug 03 2024 - 4:00pm,complete,N/A,Lugano,Servette,Léonce Lionel Tschudi,3,3.00,3.00,1.68,1.53,3,1,4,0,0,0,"73,78,84","61",7,5,2,0,0,0,0,2,0,0,13,8,8,5,5,3,11,9,58,42,2.11,1.31,1.78,1.38,3.00,100,100,100,0,0,0,100,100,100,13.00,5.00,2.75,3.30,2.40,1.22,1.55,2.55,4.50,1.53,2.38,Stadio di Cornaredo (Lugano)
1722709800,Aug 03 2024 - 6:30pm,complete,N/A,Luzern,Sion,Fedayi San,3,0.00,3.00,1.68,0.63,1,0,1,0,0,0,"48","",3,8,1,0,3,0,0,1,0,3,10,13,7,3,3,10,7,7,46,54,1.15,1.40,1.59,1.55,3.00,100,100,100,0,0,50,100,50,100,13.00,7.00,2.20,3.40,3.00,1.25,1.65,2.75,5.00,1.62,2.20,swissporarena (Luzern)
1722773700,Aug 04 2024 - 12:15pm,complete,N/A,Lausanne Sport,St. Gallen,Nico Gianforte,3,3.00,0.00,1.80,0.95,3,4,7,3,1,2,"37,77,80","1,20,50,70",8,2,4,0,4,0,1,3,0,4,17,9,9,8,8,1,15,13,51,49,1.45,2.01,1.82,1.18,3.00,50,50,50,50,50,50,50,0,100,11.00,6.00,2.60,3.45,2.52,1.17,1.70,2.30,3.85,1.44,2.63,Stade de la Tuilière (Lausanne)
1722781800,Aug 04 2024 - 2:30pm,complete,N/A,Winterthur,Yverdon Sport,Luca Piccolo,3,3.00,0.00,1.42,0.68,0,0,0,0,0,0,"","",8,3,2,0,5,0,0,2,3,2,9,12,4,2,5,10,12,12,54,46,1.02,1.63,1.32,1.27,3.00,50,50,50,50,50,50,50,50,100,10.00,4.00,1.88,3.88,3.57,1.11,1.48,2.25,3.50,1.44,2.63,Stadion Schützenwiese (Winterthur)
1722781800,Aug 04 2024 - 2:30pm,complete,N/A,Young Boys,Zürich,Lukas Fähndrich,3,0.00,3.00,2.26,1.26,2,2,4,2,1,1,"18,54","7,76",4,10,1,0,4,1,0,1,1,4,14,16,3,6,11,10,11,14,48,52,1.85,1.76,1.52,1.93,2.50,50,100,50,0,0,50,50,50,100,15.00,6.00,1.91,3.96,3.43,1.15,1.57,2.38,4.10,1.50,2.50,Stadion Wankdorf (Bern)
1723305600,Aug 10 2024 - 4:00pm,complete,N/A,Sion,Winterthur,Sandro Schärer,4,3.00,0.00,1.68,0.68,2,0,2,0,0,0,"50,85","",5,2,2,0,2,1,0,2,1,2,14,5,7,2,7,3,7,9,54,46,1.73,1.05,1.79,0.73,5.00,50,100,100,100,50,100,100,100,100,11.00,3.00,1.93,3.69,3.60,1.22,1.61,2.60,4.75,1.57,2.25,Stade de Tourbillon (Sion)
